model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,kafka_streaming,flink_ops,spark_sla,retention_compliance,s3_tiering,build_vs_buy,soc2_compat,onboarding_screens,progressive_disclosure,365day_cost
gpt-4.1-mini,openai,0.25,coord_first,3,931,2793,4096,0.9,0.9,4025,65,0.001714,1474.6004580083536,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,reason_first,11,2793,931,4096,1.0,1.0,4050,65,0.001724,1343.8145839900244,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,6,3351,373,4096,0.9,0.9,4055,65,0.001726,978.194875002373,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,coord_first,5,1862,1862,4096,0.9,0.9,4035,65,0.001718,1476.593542000046,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,4,931,2793,4096,0.9,0.9,4025,470,0.002362,5506.704792001983,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,coord_first,6,1862,1862,4096,0.9,0.9,4035,65,0.001718,1235.531540994998,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,5,931,2793,4096,0.9,0.9,4025,65,0.001714,1237.1012079966022,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,reason_first,7,3351,373,4096,0.9,0.9,4055,65,0.001726,1130.7236669963459,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,coord_first,8,0,3724,4096,0.9,0.9,4016,65,0.0017104000000000002,951.7994170018937,1,1,1,0,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,10,3351,373,4096,0.9,0.9,4055,65,0.001726,1403.4070839989,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,6,931,2793,4096,1.0,1.0,4025,603,0.0025748000000000004,8053.15791600151,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,6,2793,931,4096,0.9,0.9,4049,65,0.0017236,1508.0570410063956,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,coord_first,7,1862,1862,4096,0.9,0.9,4035,65,0.001718,1394.8780419887044,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,coord_first,9,0,3724,4096,0.8,0.8,4016,65,0.0017104000000000002,1336.062625006889,1,1,1,0,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,reason_first,4,0,3724,4096,0.9,0.9,4016,65,0.0017104000000000002,941.6766249923967,1,1,1,0,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,7,931,2793,4096,0.9,0.9,4025,477,0.0023732,5504.738957999507,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,8,931,2793,4096,0.9,0.9,4025,496,0.0024036,7681.841875004466,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,6,931,2793,4096,0.9,0.9,4025,515,0.002434,9069.145708999713,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,reason_first,8,3351,373,4096,0.9,0.9,4055,65,0.001726,1210.741875009262,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,reason_first,9,1862,1862,4096,1.0,1.0,4035,65,0.001718,1544.1555829893332,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,5,0,3724,4096,0.8,0.8,4016,65,0.0017104000000000002,1094.8031669977354,1,1,1,0,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,reason_first,10,1862,1862,4096,0.9,0.9,4035,65,0.001718,1197.5189160002628,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,coord_first,7,2793,931,4096,0.9,0.9,4049,65,0.0017236,1080.0455830030842,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,7,931,2793,4096,0.9,0.9,4025,660,0.002666,9617.162750000716,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,reason_first,6,0,3724,4096,0.9,0.9,4016,65,0.0017104000000000002,2046.323166010552,1,1,1,0,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,9,3351,373,4096,0.9,0.9,4055,65,0.001726,1154.1264170082286,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,8,931,2793,4096,0.9,0.9,4025,65,0.001714,1328.98020799621,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,reason_first,7,0,3724,4096,0.9,0.9,4016,65,0.0017104000000000002,1022.2401670034742,1,1,1,0,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,8,2793,931,4096,0.9,0.9,4049,65,0.0017236,2964.574666999397,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,reason_first,10,3351,373,4096,0.9,0.9,4055,65,0.001726,1212.69729200867,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,coord_first,10,0,3724,4096,0.9,0.9,4016,65,0.0017104000000000002,1160.8289160067216,1,1,1,0,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,11,1862,1862,4096,1.0,1.0,4035,65,0.001718,1121.0037920100149,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,11,0,3724,4096,0.9,0.9,4016,65,0.0017104000000000002,1210.187541990308,1,1,1,0,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,8,1862,1862,4096,0.9,0.9,4035,65,0.001718,1125.6142080092104,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.75,coord_first,9,2793,931,4096,0.9,0.9,4049,65,0.0017236,1020.48587500758,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,9,931,2793,4096,0.8,0.8,4025,496,0.0024036,5965.351042003022,1,1,1,0,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,10,931,2793,4096,0.9,0.9,4025,617,0.0025972,6480.319624999538,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,coord_first,9,1862,1862,4096,0.9,0.9,4035,65,0.001718,1152.0549160049995,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,9,931,2793,4096,1.0,1.0,4025,65,0.001714,1046.5010000043549,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,12,1862,1862,4096,0.9,0.9,4035,65,0.001718,1287.2108339943225,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,11,931,2793,4096,0.9,0.9,4025,65,0.001714,1180.7024169975193,1,1,1,1,1,1,1,1,1,0
