model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,kafka_streaming,flink_ops,spark_sla,retention_compliance,s3_tiering,build_vs_buy,soc2_compat,onboarding_screens,progressive_disclosure,365day_cost
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,6,931,2793,4096,1.0,1.0,4370,619,0.005972,608145.691999991,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,7,0,3724,4096,0.8,0.8,4247,439,0.0051536,4428.056500008097,1,1,1,0,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,7,931,2793,4096,0.0,0.0,4370,475,0.005396,6581.971082996461,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,7,1862,1862,4096,0.7,0.7,4497,513,0.0056496,6534.427749997121,1,0,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,4,3351,373,4096,0.8,0.8,4693,571,0.006038399999999999,6773.36245799961,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,8,0,3724,4096,0.9,0.9,4247,428,0.005109600000000001,3805.35854199843,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,10,3351,373,4096,0.0,0.0,4693,721,0.0066384,10424.275958008366,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,8,1862,1862,4096,0.0,0.0,4497,428,0.0053096,5791.119625006104,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,6,2793,931,4096,0.7,0.7,4607,613,0.0061376,7363.352416999987,1,1,1,0,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,9,1862,1862,4096,0.0,0.0,4497,439,0.0053536,5471.514707998722,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,11,3351,373,4096,0.0,0.0,4693,524,0.0058503999999999995,5982.4759580078535,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,5,3351,373,4096,0.7,0.7,4693,586,0.0060983999999999995,6372.633416001918,1,1,1,0,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,6,3351,373,4096,0.7,0.7,4693,610,0.006194399999999999,6750.384250000934,1,1,1,0,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,10,1862,1862,4096,0.4,0.4,4497,651,0.006201600000000001,7555.807040989748,0,0,1,0,0,0,0,1,1,1
