model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gpt-4.1-mini,openai,0.94,reason_first,8,3533,226,4096,0.4,0.5,4098,1024,0.0032776000000000003,15162.468749999789,0,0,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.98,coord_first,8,3683,76,4096,0.3,0.25,4098,937,0.0031384,12555.938707999758,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.92,coord_first,11,3458,301,4096,0.5,0.625,4099,1024,0.003278,13409.034750000046,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,11,3533,226,4096,0.5,0.5,4098,938,0.00314,12509.11166700007,0,1,1,0,0,0,1,1,0,1
gpt-4.1-mini,openai,0.96,reason_first,7,3608,151,4096,0.4,0.375,4096,1013,0.0032592000000000003,16366.289000000052,0,1,1,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.98,coord_first,9,3683,76,4096,0.3,0.25,4098,1012,0.0032584000000000003,14582.913917000042,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.92,reason_first,11,3458,301,4096,0.5,0.625,4099,1024,0.003278,14397.566208000171,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.96,reason_first,8,3608,151,4096,0.5,0.5,4096,1022,0.0032736,16033.696999999847,0,1,1,0,0,0,1,1,0,1
gpt-4.1-mini,openai,0.94,reason_first,9,3533,226,4096,0.5,0.5,4098,1024,0.0032776000000000003,19918.541957999878,0,1,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.98,coord_first,10,3683,76,4096,0.4,0.375,4098,979,0.0032056000000000003,12384.52291700014,0,1,1,0,0,0,1,0,0,1
gpt-4.1-mini,openai,0.92,reason_first,12,3458,301,4096,0.4,0.5,4099,1024,0.003278,17792.257874999905,0,0,1,1,1,0,0,0,0,1
gpt-4.1-mini,openai,0.96,coord_first,7,3608,151,4096,0.5,0.5,4096,973,0.0031952000000000005,12969.902207999894,0,1,1,0,0,1,0,1,0,1
gpt-4.1-mini,openai,0.98,coord_first,11,3683,76,4096,0.4,0.375,4098,1024,0.0032776000000000003,15840.313083000183,0,1,0,0,0,0,1,0,1,1
gpt-4.1-mini,openai,0.98,coord_first,12,3683,76,4096,0.5,0.5,4098,970,0.0031912,26384.31612500017,0,1,1,0,0,1,1,1,0,0
gpt-4.1-mini,openai,0.98,coord_first,13,3683,76,4096,0.3,0.25,4098,946,0.0031528000000000003,11791.124500000024,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.92,reason_first,13,3458,301,4096,0.5,0.625,4099,1024,0.003278,14703.409208000267,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.94,reason_first,10,3533,226,4096,0.4,0.375,4098,1024,0.0032776000000000003,13789.733375000196,0,1,1,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.96,coord_first,8,3608,151,4096,0.3,0.25,4096,901,0.00308,13639.480959000139,0,1,1,0,0,0,0,0,1,0
gpt-4.1-mini,openai,0.92,reason_first,14,3458,301,4096,0.5,0.625,4099,1024,0.003278,15417.672624999796,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.96,coord_first,9,3608,151,4096,0.2,0.125,4096,930,0.0031264,16438.206875000105,0,1,1,0,0,0,0,0,0,0
gpt-4.1-mini,openai,0.94,coord_first,12,3533,226,4096,0.6,0.75,4098,886,0.0030568,13376.387208999859,0,0,1,1,0,1,1,1,1,0
gpt-4.1-mini,openai,0.98,reason_first,10,3683,76,4096,0.3,0.25,4098,974,0.0031976000000000005,13831.341874999907,0,1,0,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,12,3458,301,4096,0.5,0.625,4099,1024,0.003278,15847.559207999893,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,reason_first,15,3458,301,4096,0.5,0.625,4099,1024,0.003278,17865.881041000193,0,0,1,1,1,0,0,1,0,1
